//num du beat;type de l'ennemi
0;0
1;0
2;0
3;0
4;1
5;0
6;0
7;0
8;2
9;0
10;0
11;0
12;1
13;0
14;0
15;0
16;1
17;0
18;0
19;0
20;2
21;0
22;0
23;0
24;2
25;0
26;0
27;0
28;3
29;0
30;0
31;0
32;1
33;0
34;0
35;0
36;3
37;0
38;0
39;0
40;3
41;0
42;0
43;0
44;2
45;0
46;0
47;0
48;3
49;0
50;0
51;0
52;2
53;0
54;0
55;0
56;1
57;0
58;0
59;0
60;1
61;0
62;0
63;0
64;3
65;0
66;0
67;0
68;2
69;0
70;0
71;0
72;1
73;0
74;0
75;0
76;1
77;0
78;0
79;0
80;2
81;0
82;0
83;0
84;1
85;0
86;0
87;0
88;2
89;0
90;0
91;0
92;2
93;0
94;0
95;0
96;2
97;0
98;0
99;0
100;3
